place,week_ahead,quantile,value
Washington,1,point,80
Washington,1,0.01,52.64808422
Washington,1,0.025,52.66009113
Washington,1,0.05,52.67593703
Washington,1,0.1,52.93481178
Washington,1,0.15,53.35168966
Washington,1,0.2,53.65743028
Washington,1,0.25,64.43104397
Washington,1,0.3,75.24458532
Washington,1,0.35,75.2914091
Washington,1,0.4,76.32775459
Washington,1,0.45,76.89759349
Washington,1,0.5,80
Washington,1,0.55,83.03973301
Washington,1,0.6,84.23768444
Washington,1,0.65,85.68624195
Washington,1,0.7,85.78225753
Washington,1,0.75,88.58298547
Washington,1,0.8,91.70162504
Washington,1,0.85,92.22627003
Washington,1,0.9,92.30813785
Washington,1,0.95,93.54988534
Washington,1,0.975,93.75864939
Washington,1,0.99,93.91355151
Washington,2,point,78
Washington,2,0.01,46.09945857
Washington,2,0.025,46.12831821
Washington,2,0.05,46.16648831
Washington,2,0.1,46.74294629
Washington,2,0.15,47.6718385
Washington,2,0.2,48.35241366
Washington,2,0.25,60.13997011
Washington,2,0.3,71.97000263
Washington,2,0.35,73.06668292
Washington,2,0.4,74.80691749
Washington,2,0.45,75.28135519
Washington,2,0.5,78
Washington,2,0.55,80.63189233
Washington,2,0.6,82.00730669
Washington,2,0.65,83.12491942
Washington,2,0.7,83.89580522
Washington,2,0.75,86.60340674
Washington,2,0.8,89.60260643
Washington,2,0.85,90.05464734
Washington,2,0.9,91.48780123
Washington,2,0.95,92.47996085
Washington,2,0.975,92.68454638
Washington,2,0.99,92.91605952
Washington,3,point,73
Washington,3,0.01,38.96383756
Washington,3,0.025,39.00432823
Washington,3,0.05,39.05793159
Washington,3,0.1,39.79186994
Washington,3,0.15,40.97552107
Washington,3,0.2,41.84153336
Washington,3,0.25,53.95038048
Washington,3,0.3,66.1081318
Washington,3,0.35,67.74610407
Washington,3,0.4,70.33833357
Washington,3,0.45,70.78693655
Washington,3,0.5,73
Washington,3,0.55,75.18947672
Washington,3,0.6,77.04595683
Washington,3,0.65,78.01400813
Washington,3,0.7,78.66759498
Washington,3,0.75,81.55957147
Washington,3,0.8,84.7204466
Washington,3,0.85,85.13500808
Washington,3,0.9,87.3002396
Washington,3,0.95,88.15903775
Washington,3,0.975,88.36014456
Washington,3,0.99,88.64413846
Washington,4,point,69
Washington,4,0.01,28.31591493
Washington,4,0.025,28.37214257
Washington,4,0.05,28.44663093
Washington,4,0.1,29.38459922
Washington,4,0.15,30.89848984
Washington,4,0.2,32.00466415
Washington,4,0.25,46.26753742
Washington,4,0.3,60.61261773
Washington,4,0.35,62.92629818
Washington,4,0.4,66.60751787
Washington,4,0.45,67.65648114
Washington,4,0.5,69
Washington,4,0.55,70.41650547
Washington,4,0.6,72.36082327
Washington,4,0.65,73.93836398
Washington,4,0.7,74.65027662
Washington,4,0.75,77.65402039
Washington,4,0.8,80.72347678
Washington,4,0.85,81.31603882
Washington,4,0.9,84.32115931
Washington,4,0.95,85.24995737
Washington,4,0.975,85.60729215
Washington,4,0.99,86.03753002
Washington,5,point,67
Washington,5,0.01,19.65727718
Washington,5,0.025,19.7273725
Washington,5,0.05,19.82028782
Washington,5,0.1,20.9108246
Washington,5,0.15,22.67222227
Washington,5,0.2,23.95771391
Washington,5,0.25,40.40792426
Washington,5,0.3,56.98966989
Washington,5,0.35,59.91099491
Washington,5,0.4,64.57359561
Washington,5,0.45,66.33868737
Washington,5,0.5,67
Washington,5,0.55,67.76919161
Washington,5,0.6,69.791353
Washington,5,0.65,72.09187729
Washington,5,0.7,72.87810175
Washington,5,0.75,75.89382808
Washington,5,0.8,78.96454062
Washington,5,0.85,79.65060279
Washington,5,0.9,83.51266388
Washington,5,0.95,84.53064756
Washington,5,0.975,84.9560876
Washington,5,0.99,85.55070174
Washington,6,point,62
Washington,6,0.01,18.25640262
Washington,6,0.025,18.33501658
Washington,6,0.05,18.43927631
Washington,6,0.1,19.60829122
Washington,6,0.15,21.4973799
Washington,6,0.2,22.87493898
Washington,6,0.25,36.7689695
Washington,6,0.3,50.79747335
Washington,6,0.35,54.41401179
Washington,6,0.4,59.46500355
Washington,6,0.45,61.24398908
Washington,6,0.5,62
Washington,6,0.55,62.93786478
Washington,6,0.6,64.56710294
Washington,6,0.65,66.35634017
Washington,6,0.7,67.26710906
Washington,6,0.75,70.6124435
Washington,6,0.8,73.78807696
Washington,6,0.85,74.25217093
Washington,6,0.9,79.01834643
Washington,6,0.95,79.35951542
Washington,6,0.975,79.73474243
Washington,6,0.99,80.36183351
Washington,7,point,60
Washington,7,0.01,16.85734294
Washington,7,0.025,16.93568896
Washington,7,0.05,17.03965436
Washington,7,0.1,18.08860502
Washington,7,0.15,19.78574486
Washington,7,0.2,21.02079737
Washington,7,0.25,34.60304316
Washington,7,0.3,48.34787961
Washington,7,0.35,51.75451427
Washington,7,0.4,57.20520267
Washington,7,0.45,59.51443868
Washington,7,0.5,60
Washington,7,0.55,60.78102962
Washington,7,0.6,62.31741277
Washington,7,0.65,64.66146963
Washington,7,0.7,64.94399599
Washington,7,0.75,68.59503448
Washington,7,0.8,71.94891909
Washington,7,0.85,72.48963482
Washington,7,0.9,77.01553146
Washington,7,0.95,77.38929143
Washington,7,0.975,77.82557745
Washington,7,0.99,78.50791683
Illinois,1,point,273
Illinois,1,0.01,225.8560212
Illinois,1,0.025,225.9518021
Illinois,1,0.05,226.0753483
Illinois,1,0.1,228.8647441
Illinois,1,0.15,228.9818131
Illinois,1,0.2,232.1450506
Illinois,1,0.25,239.5201926
Illinois,1,0.3,247.0035333
Illinois,1,0.35,250.8349264
Illinois,1,0.4,254.8384851
Illinois,1,0.45,259.6790456
Illinois,1,0.5,273
Illinois,1,0.55,286.1434526
Illinois,1,0.6,288.6236376
Illinois,1,0.65,292.0980521
Illinois,1,0.7,294.9343517
Illinois,1,0.75,316.2628323
Illinois,1,0.8,337.7040529
Illinois,1,0.85,341.0100764
Illinois,1,0.9,354.0140132
Illinois,1,0.95,358.2265974
Illinois,1,0.975,358.2397399
Illinois,1,0.99,358.2492469
Illinois,2,point,258
Illinois,2,0.01,206.0811173
Illinois,2,0.025,206.1978365
Illinois,2,0.05,206.3484448
Illinois,2,0.1,210.3897565
Illinois,2,0.15,211.2440212
Illinois,2,0.2,215.8961021
Illinois,2,0.25,221.6103412
Illinois,2,0.3,227.4226932
Illinois,2,0.35,233.9571136
Illinois,2,0.4,238.6045939
Illinois,2,0.45,246.8080029
Illinois,2,0.5,258
Illinois,2,0.55,269.0205873
Illinois,2,0.6,274.9800738
Illinois,2,0.65,277.7061606
Illinois,2,0.7,284.4792859
Illinois,2,0.75,301.5977681
Illinois,2,0.8,318.9365142
Illinois,2,0.85,327.0580783
Illinois,2,0.9,342.3334542
Illinois,2,0.95,352.6382581
Illinois,2,0.975,352.692127
Illinois,2,0.99,352.7310662
Illinois,3,point,259
Illinois,3,0.01,204.8978804
Illinois,3,0.025,205.0203087
Illinois,3,0.05,205.1783458
Illinois,3,0.1,209.810405
Illinois,3,0.15,211.1043636
Illinois,3,0.2,216.4652055
Illinois,3,0.25,221.1415801
Illinois,3,0.3,225.8915978
Illinois,3,0.35,233.8296829
Illinois,3,0.4,238.645702
Illinois,3,0.45,248.5814056
Illinois,3,0.5,259
Illinois,3,0.55,269.3157584
Illinois,3,0.6,277.166358
Illinois,3,0.65,280.5815742
Illinois,3,0.7,289.6441127
Illinois,3,0.75,303.5395221
Illinois,3,0.8,317.7638975
Illinois,3,0.85,330.0427622
Illinois,3,0.9,344.8721963
Illinois,3,0.95,360.4438507
Illinois,3,0.975,360.5544571
Illinois,3,0.99,360.6344194
Illinois,4,point,253
Illinois,4,0.01,194.1204228
Illinois,4,0.025,194.2714848
Illinois,4,0.05,194.4665603
Illinois,4,0.1,200.1954087
Illinois,4,0.15,202.2960938
Illinois,4,0.2,208.7114917
Illinois,4,0.25,211.5822352
Illinois,4,0.3,214.5395435
Illinois,4,0.35,224.7706592
Illinois,4,0.4,230.0002998
Illinois,4,0.45,243.1289531
Illinois,4,0.5,253
Illinois,4,0.55,262.8662506
Illinois,4,0.6,273.5957185
Illinois,4,0.65,279.4556696
Illinois,4,0.7,290.9382517
Illinois,4,0.75,300.1759719
Illinois,4,0.8,309.5474091
Illinois,4,0.85,327.9836785
Illinois,4,0.9,343.5013738
Illinois,4,0.95,368.1248925
Illinois,4,0.975,368.3459302
Illinois,4,0.99,368.5057973
Illinois,5,point,250
Illinois,5,0.01,186.6176017
Illinois,5,0.025,186.7959046
Illinois,5,0.05,187.0262469
Illinois,5,0.1,193.6141034
Illinois,5,0.15,196.6176441
Illinois,5,0.2,203.5847998
Illinois,5,0.25,204.8450602
Illinois,5,0.3,206.2101941
Illinois,5,0.35,218.2388173
Illinois,5,0.4,223.5322777
Illinois,5,0.45,239.5605769
Illinois,5,0.5,250
Illinois,5,0.55,260.60575
Illinois,5,0.6,274.0147934
Illinois,5,0.65,283.4008182
Illinois,5,0.7,295.8594315
Illinois,5,0.75,301.3670052
Illinois,5,0.8,306.7715916
Illinois,5,0.85,330.3321409
Illinois,5,0.9,346.6911582
Illinois,5,0.95,380.8898145
Illinois,5,0.975,381.2707347
Illinois,5,0.99,381.5464118
Illinois,6,point,245
Illinois,6,0.01,183.1302248
Illinois,6,0.025,183.2812678
Illinois,6,0.05,183.476536
Illinois,6,0.1,189.6193097
Illinois,6,0.15,193.2859339
Illinois,6,0.2,199.6224504
Illinois,6,0.25,200.5126386
Illinois,6,0.3,201.4527698
Illinois,6,0.35,213.615004
Illinois,6,0.4,217.2291605
Illinois,6,0.45,233.6341141
Illinois,6,0.5,245
Illinois,6,0.55,256.7069208
Illinois,6,0.6,271.6080864
Illinois,6,0.65,280.7348064
Illinois,6,0.7,294.1808485
Illinois,6,0.75,298.2816931
Illinois,6,0.8,302.1692486
Illinois,6,0.85,329.1404175
Illinois,6,0.9,339.8362365
Illinois,6,0.95,379.4251188
Illinois,6,0.975,379.8914122
Illinois,6,0.99,380.2288783
Illinois,7,point,241
Illinois,7,0.01,180.5881645
Illinois,7,0.025,180.7297106
Illinois,7,0.05,180.9128033
Illinois,7,0.1,186.5041484
Illinois,7,0.15,190.37103
Illinois,7,0.2,195.7801816
Illinois,7,0.25,196.7232559
Illinois,7,0.3,197.7103022
Illinois,7,0.35,209.0454469
Illinois,7,0.4,211.6712407
Illinois,7,0.45,227.4471939
Illinois,7,0.5,241
Illinois,7,0.55,255.0585639
Illinois,7,0.6,269.4609876
Illinois,7,0.65,281.4695798
Illinois,7,0.7,293.2031017
Illinois,7,0.75,297.1747322
Illinois,7,0.8,300.6810321
Illinois,7,0.85,329.119862
Illinois,7,0.9,336.017723
Illinois,7,0.95,379.2757449
Illinois,7,0.975,379.8387868
Illinois,7,0.99,380.2463296
California,1,point,1779
California,1,0.01,1384.860684
California,1,0.025,1385.471237
California,1,0.05,1386.268645
California,1,0.1,1400.184502
California,1,0.15,1424.585985
California,1,0.2,1437.545634
California,1,0.25,1508.411211
California,1,0.3,1590.725774
California,1,0.35,1599.075336
California,1,0.4,1619.153089
California,1,0.45,1632.107303
California,1,0.5,1779
California,1,0.55,1904.790982
California,1,0.6,1932.446378
California,1,0.65,1946.338657
California,1,0.7,1977.819566
California,1,0.75,2193.641427
California,1,0.8,2397.597272
California,1,0.85,2427.31669
California,1,0.9,2594.948714
California,1,0.95,2879.059371
California,1,0.975,2941.433341
California,1,0.99,2988.336672
California,2,point,1415
California,2,0.01,1022.791982
California,2,0.025,1025.01732
California,2,0.05,1027.597642
California,2,0.1,1043.956059
California,2,0.15,1080.970097
California,2,0.2,1093.801518
California,2,0.25,1153.286728
California,2,0.3,1222.396098
California,2,0.35,1258.854107
California,2,0.4,1280.404004
California,2,0.45,1294.251514
California,2,0.5,1415
California,2,0.55,1531.342126
California,2,0.6,1573.430051
California,2,0.65,1598.012198
California,2,0.7,1628.102895
California,2,0.75,1796.336899
California,2,0.8,1963.330637
California,2,0.85,2041.447158
California,2,0.9,2187.064445
California,2,0.95,2515.676895
California,2,0.975,2595.716196
California,2,0.99,2656.379679
California,3,point,1247
California,3,0.01,869.6219776
California,3,0.025,873.2069828
California,3,0.05,877.1521652
California,3,0.1,894.2615894
California,3,0.15,934.9127813
California,3,0.2,948.7366985
California,3,0.25,999.9109231
California,3,0.3,1060.232883
California,3,0.35,1102.588182
California,3,0.4,1129.425365
California,3,0.45,1145.517226
California,3,0.5,1247
California,3,0.55,1346.550678
California,3,0.6,1392.047287
California,3,0.65,1423.954284
California,3,0.7,1465.845813
California,3,0.75,1608.777799
California,3,0.8,1749.752026
California,3,0.85,1828.158057
California,3,0.9,1961.496275
California,3,0.95,2276.527697
California,3,0.975,2365.12065
California,3,0.99,2432.836887
California,4,point,1121
California,4,0.01,747.5011508
California,4,0.025,753.001497
California,4,0.05,759.266782
California,4,0.1,781.1032172
California,4,0.15,829.8376774
California,4,0.2,848.0004339
California,4,0.25,886.8252612
California,4,0.3,936.2484822
California,4,0.35,988.1344986
California,4,0.4,1023.992711
California,4,0.45,1044.740957
California,4,0.5,1121
California,4,0.55,1192.950573
California,4,0.6,1248.39604
California,4,0.65,1293.434117
California,4,0.7,1348.867932
California,4,0.75,1453.216753
California,4,0.8,1555.285954
California,4,0.85,1644.740824
California,4,0.9,1796.723638
California,4,0.95,2153.55075
California,4,0.975,2268.732546
California,4,0.99,2357.518042
California,5,point,1003
California,5,0.01,626.094008
California,5,0.025,633.5770485
California,5,0.05,642.4971758
California,5,0.1,669.8073488
California,5,0.15,723.8890067
California,5,0.2,746.8921203
California,5,0.25,776.5172282
California,5,0.3,817.6408665
California,5,0.35,876.9430522
California,5,0.4,920.9953091
California,5,0.45,947.6390945
California,5,0.5,1003
California,5,0.55,1054.698304
California,5,0.6,1117.663342
California,5,0.65,1175.233757
California,5,0.7,1241.356945
California,5,0.75,1314.255261
California,5,0.8,1387.810089
California,5,0.85,1487.070711
California,5,0.9,1656.901103
California,5,0.95,2046.520148
California,5,0.975,2189.642136
California,5,0.99,2300.892093
California,6,point,897
California,6,0.01,576.7200389
California,6,0.025,585.6159247
California,6,0.05,596.1680277
California,6,0.1,619.8688516
California,6,0.15,669.1698115
California,6,0.2,688.2039666
California,6,0.25,708.8378474
California,6,0.3,735.2581516
California,6,0.35,803.1237124
California,6,0.4,843.1307188
California,6,0.45,866.7197896
California,6,0.5,897
California,6,0.55,938.5282451
California,6,0.6,996.4929958
California,6,0.65,1058.036805
California,6,0.7,1117.080108
California,6,0.75,1153.984282
California,6,0.8,1200.608609
California,6,0.85,1302.394823
California,6,0.9,1388.958795
California,6,0.95,1662.899609
California,6,0.975,1795.021616
California,6,0.99,1898.906564
California,7,point,799
California,7,0.01,500.7647602
California,7,0.025,510.2693767
California,7,0.05,521.6958262
California,7,0.1,545.4015583
California,7,0.15,586.1856046
California,7,0.2,607.4155655
California,7,0.25,626.4793703
California,7,0.3,651.8751784
California,7,0.35,702.1014768
California,7,0.4,746.7887078
California,7,0.45,772.7316707
California,7,0.5,799
California,7,0.55,825.0391401
California,7,0.6,873.863638
California,7,0.65,937.0381336
California,7,0.7,1007.122518
California,7,0.75,1047.837937
California,7,0.8,1091.301235
California,7,0.85,1152.580244
California,7,0.9,1241.474514
California,7,0.95,1452.689656
California,7,0.975,1584.507236
California,7,0.99,1689.039185
Arizona,1,point,339
Arizona,1,0.01,276.1096748
Arizona,1,0.025,276.3055325
Arizona,1,0.05,276.5786517
Arizona,1,0.1,277.4697772
Arizona,1,0.15,280.7607106
Arizona,1,0.2,281.208974
Arizona,1,0.25,293.2047114
Arizona,1,0.3,304.1497424
Arizona,1,0.35,305.3356783
Arizona,1,0.4,315.8100392
Arizona,1,0.45,321.1642732
Arizona,1,0.5,339
Arizona,1,0.55,354.3039644
Arizona,1,0.6,356.0031567
Arizona,1,0.65,372.2668986
Arizona,1,0.7,401.8295383
Arizona,1,0.75,444.7323634
Arizona,1,0.8,491.5443299
Arizona,1,0.85,503.1303653
Arizona,1,0.9,542.3600806
Arizona,1,0.95,604.456019
Arizona,1,0.975,616.9717133
Arizona,1,0.99,626.245528
Arizona,2,point,289
Arizona,2,0.01,220.0271667
Arizona,2,0.025,220.3866436
Arizona,2,0.05,221.0199397
Arizona,2,0.1,222.5309899
Arizona,2,0.15,226.7972737
Arizona,2,0.2,228.0576258
Arizona,2,0.25,240.6500829
Arizona,2,0.3,253.1286196
Arizona,2,0.35,254.8612177
Arizona,2,0.4,263.5920441
Arizona,2,0.45,268.8257207
Arizona,2,0.5,289
Arizona,2,0.55,305.3200038
Arizona,2,0.6,307.7738974
Arizona,2,0.65,321.2852115
Arizona,2,0.7,351.6875799
Arizona,2,0.75,389.4989796
Arizona,2,0.8,427.4856091
Arizona,2,0.85,439.6849098
Arizona,2,0.9,483.9038178
Arizona,2,0.95,556.6539775
Arizona,2,0.975,572.5267031
Arizona,2,0.99,584.359565
Arizona,3,point,277
Arizona,3,0.01,208.0879945
Arizona,3,0.025,208.5871743
Arizona,3,0.05,209.5281304
Arizona,3,0.1,211.6216012
Arizona,3,0.15,215.9862394
Arizona,3,0.2,217.946562
Arizona,3,0.25,229.4904851
Arizona,3,0.3,242.4421034
Arizona,3,0.35,244.8254901
Arizona,3,0.4,252.7449099
Arizona,3,0.45,257.859188
Arizona,3,0.5,277
Arizona,3,0.55,294.618601
Arizona,3,0.6,297.8798063
Arizona,3,0.65,309.4657338
Arizona,3,0.7,334.7018025
Arizona,3,0.75,366.2471788
Arizona,3,0.8,400.2612683
Arizona,3,0.85,415.2253658
Arizona,3,0.9,453.8417947
Arizona,3,0.95,527.3711286
Arizona,3,0.975,544.886586
Arizona,3,0.99,558.030448
Arizona,4,point,262
Arizona,4,0.01,187.9884293
Arizona,4,0.025,188.738976
Arizona,4,0.05,190.2305909
Arizona,4,0.1,193.4254497
Arizona,4,0.15,198.4324271
Arizona,4,0.2,201.3853145
Arizona,4,0.25,212.5908075
Arizona,4,0.3,226.579488
Arizona,4,0.35,229.920044
Arizona,4,0.4,238.7826003
Arizona,4,0.45,244.997419
Arizona,4,0.5,262
Arizona,4,0.55,279.0291982
Arizona,4,0.6,283.5718028
Arizona,4,0.65,296.0051323
Arizona,4,0.7,322.281097
Arizona,4,0.75,347.6292432
Arizona,4,0.8,377.7326601
Arizona,4,0.85,396.7814565
Arizona,4,0.9,439.0350791
Arizona,4,0.95,525.8296448
Arizona,4,0.975,548.6726157
Arizona,4,0.99,565.9291801
Arizona,5,point,247
Arizona,5,0.01,167.6376551
Arizona,5,0.025,168.6797229
Arizona,5,0.05,170.8087033
Arizona,5,0.1,174.9794034
Arizona,5,0.15,180.6766509
Arizona,5,0.2,184.6384927
Arizona,5,0.25,195.5246684
Arizona,5,0.3,210.4742074
Arizona,5,0.35,214.7439728
Arizona,5,0.4,224.5375957
Arizona,5,0.45,231.9444946
Arizona,5,0.5,247
Arizona,5,0.55,263.5736412
Arizona,5,0.6,269.4793867
Arizona,5,0.65,282.5044243
Arizona,5,0.7,310.0611766
Arizona,5,0.75,330.3235561
Arizona,5,0.8,356.6590115
Arizona,5,0.85,379.2419063
Arizona,5,0.9,425.4572135
Arizona,5,0.95,523.5677254
Arizona,5,0.975,552.1430864
Arizona,5,0.99,573.8756769
Arizona,6,point,234
Arizona,6,0.01,163.4679544
Arizona,6,0.025,164.6236459
Arizona,6,0.05,167.080032
Arizona,6,0.1,171.625063
Arizona,6,0.15,176.2784223
Arizona,6,0.2,180.8945269
Arizona,6,0.25,189.2678039
Arizona,6,0.3,203.5083147
Arizona,6,0.35,207.9560696
Arizona,6,0.4,212.3423275
Arizona,6,0.45,217.5852756
Arizona,6,0.5,234
Arizona,6,0.55,254.2112159
Arizona,6,0.6,260.3190036
Arizona,6,0.65,264.4024941
Arizona,6,0.7,276.6764547
Arizona,6,0.75,287.2105068
Arizona,6,0.8,302.4040479
Arizona,6,0.85,321.9431398
Arizona,6,0.9,350.2899874
Arizona,6,0.95,426.3561734
Arizona,6,0.975,452.6886039
Arizona,6,0.99,472.898981
Arizona,7,point,220
Arizona,7,0.01,155.030725
Arizona,7,0.025,156.2882022
Arizona,7,0.05,158.9921081
Arizona,7,0.1,163.9285413
Arizona,7,0.15,167.7355754
Arizona,7,0.2,172.6581755
Arizona,7,0.25,179.0283394
Arizona,7,0.3,192.3226692
Arizona,7,0.35,197.1288142
Arizona,7,0.4,201.8104171
Arizona,7,0.45,207.1770131
Arizona,7,0.5,220
Arizona,7,0.55,240.4922472
Arizona,7,0.6,247.0632983
Arizona,7,0.65,250.7566087
Arizona,7,0.7,256.1480381
Arizona,7,0.75,262.6810664
Arizona,7,0.8,279.1022483
Arizona,7,0.85,300.4746719
Arizona,7,0.9,318.5416399
Arizona,7,0.95,385.0589468
Arizona,7,0.975,411.5209144
Arizona,7,0.99,431.9647494
Massachusetts,1,point,281
Massachusetts,1,0.01,253.3013307
Massachusetts,1,0.025,253.3812684
Massachusetts,1,0.05,253.4847295
Massachusetts,1,0.1,253.8282465
Massachusetts,1,0.15,254.6930657
Massachusetts,1,0.2,255.036874
Massachusetts,1,0.25,256.9391103
Massachusetts,1,0.3,258.6242136
Massachusetts,1,0.35,260.1192746
Massachusetts,1,0.4,268.718449
Massachusetts,1,0.45,270.3670237
Massachusetts,1,0.5,281
Massachusetts,1,0.55,291.0164813
Massachusetts,1,0.6,291.6659784
Massachusetts,1,0.65,296.8947069
Massachusetts,1,0.7,297.0830024
Massachusetts,1,0.75,317.1841163
Massachusetts,1,0.8,337.2081213
Massachusetts,1,0.85,343.2381901
Massachusetts,1,0.9,354.0783843
Massachusetts,1,0.95,362.4373831
Massachusetts,1,0.975,362.4474151
Massachusetts,1,0.99,362.4546969
Massachusetts,2,point,272
Massachusetts,2,0.01,239.6231235
Massachusetts,2,0.025,239.790208
Massachusetts,2,0.05,239.9862094
Massachusetts,2,0.1,240.4366557
Massachusetts,2,0.15,241.4902926
Massachusetts,2,0.2,241.9594016
Massachusetts,2,0.25,244.0243738
Massachusetts,2,0.3,246.0711056
Massachusetts,2,0.35,247.8715773
Massachusetts,2,0.4,259.7093457
Massachusetts,2,0.45,261.9048035
Massachusetts,2,0.5,272
Massachusetts,2,0.55,281.5575216
Massachusetts,2,0.6,282.4147396
Massachusetts,2,0.65,289.5499996
Massachusetts,2,0.7,297.1412048
Massachusetts,2,0.75,312.5035804
Massachusetts,2,0.8,327.8091586
Massachusetts,2,0.85,334.6758614
Massachusetts,2,0.9,344.7378883
Massachusetts,2,0.95,364.6941367
Massachusetts,2,0.975,364.7439154
Massachusetts,2,0.99,364.7800824
Massachusetts,3,point,270
Massachusetts,3,0.01,235.8111561
Massachusetts,3,0.025,236.0166259
Massachusetts,3,0.05,236.255624
Massachusetts,3,0.1,236.7479889
Massachusetts,3,0.15,238.1298791
Massachusetts,3,0.2,238.6505575
Massachusetts,3,0.25,240.6257037
Massachusetts,3,0.3,242.6663495
Massachusetts,3,0.35,244.869508
Massachusetts,3,0.4,257.7867987
Massachusetts,3,0.45,260.564665
Massachusetts,3,0.5,270
Massachusetts,3,0.55,278.9766985
Massachusetts,3,0.6,279.9086044
Massachusetts,3,0.65,287.845138
Massachusetts,3,0.7,301.0710545
Massachusetts,3,0.75,313.9647563
Massachusetts,3,0.8,326.7446531
Massachusetts,3,0.85,332.6170031
Massachusetts,3,0.9,343.9321161
Massachusetts,3,0.95,370.3408485
Massachusetts,3,0.975,370.456247
Massachusetts,3,0.99,370.5401654
Massachusetts,4,point,255
Massachusetts,4,0.01,215.562158
Massachusetts,4,0.025,215.8389593
Massachusetts,4,0.05,216.1422742
Massachusetts,4,0.1,216.7483982
Massachusetts,4,0.15,218.6607329
Massachusetts,4,0.2,219.2885616
Massachusetts,4,0.25,221.236436
Massachusetts,4,0.3,223.3224671
Massachusetts,4,0.35,226.2414453
Massachusetts,4,0.4,241.7240656
Massachusetts,4,0.45,245.4578066
Massachusetts,4,0.5,255
Massachusetts,4,0.55,264.0792269
Massachusetts,4,0.6,265.2115304
Massachusetts,4,0.65,275.069685
Massachusetts,4,0.7,294.4889902
Massachusetts,4,0.75,303.390908
Massachusetts,4,0.8,312.1310491
Massachusetts,4,0.85,318.3448476
Massachusetts,4,0.9,332.7514523
Massachusetts,4,0.95,369.0839731
Massachusetts,4,0.975,369.329171
Massachusetts,4,0.99,369.5076613
Massachusetts,5,point,245
Massachusetts,5,0.01,200.9697473
Massachusetts,5,0.025,201.3148029
Massachusetts,5,0.05,201.6684263
Massachusetts,5,0.1,202.3721264
Massachusetts,5,0.15,204.7860639
Massachusetts,5,0.2,205.4996645
Massachusetts,5,0.25,207.3346219
Massachusetts,5,0.3,209.3795725
Massachusetts,5,0.35,212.9535368
Massachusetts,5,0.4,230.3360525
Massachusetts,5,0.45,234.9420052
Massachusetts,5,0.5,245
Massachusetts,5,0.55,254.6175061
Massachusetts,5,0.6,255.9104157
Massachusetts,5,0.65,267.4220774
Massachusetts,5,0.7,292.1955338
Massachusetts,5,0.75,298.3465538
Massachusetts,5,0.8,304.3259769
Massachusetts,5,0.85,310.8406723
Massachusetts,5,0.9,328.1617005
Massachusetts,5,0.95,373.8938178
Massachusetts,5,0.975,374.3316752
Massachusetts,5,0.99,374.650783
Massachusetts,6,point,233
Massachusetts,6,0.01,192.9302696
Massachusetts,6,0.025,193.3016359
Massachusetts,6,0.05,193.6660693
Massachusetts,6,0.1,194.2880566
Massachusetts,6,0.15,196.6568642
Massachusetts,6,0.2,197.2910086
Massachusetts,6,0.25,198.7308947
Massachusetts,6,0.3,200.5961219
Massachusetts,6,0.35,203.9422815
Massachusetts,6,0.4,219.2210455
Massachusetts,6,0.45,223.7420552
Massachusetts,6,0.5,233
Massachusetts,6,0.55,242.1697052
Massachusetts,6,0.6,243.2987192
Massachusetts,6,0.65,253.76675
Massachusetts,6,0.7,284.592349
Massachusetts,6,0.75,292.0420562
Massachusetts,6,0.8,299.335099
Massachusetts,6,0.85,302.9559166
Massachusetts,6,0.9,316.4770563
Massachusetts,6,0.95,367.3729538
Massachusetts,6,0.975,367.9127515
Massachusetts,6,0.99,368.306175
Massachusetts,7,point,221
Massachusetts,7,0.01,183.0441921
Massachusetts,7,0.025,183.3965056
Massachusetts,7,0.05,183.7245426
Massachusetts,7,0.1,184.296781
Massachusetts,7,0.15,186.9151611
Massachusetts,7,0.2,187.4790167
Massachusetts,7,0.25,188.5478049
Massachusetts,7,0.3,189.990902
Massachusetts,7,0.35,193.5468802
Massachusetts,7,0.4,206.7340486
Massachusetts,7,0.45,211.4833593
Massachusetts,7,0.5,221
Massachusetts,7,0.55,230.4993927
Massachusetts,7,0.6,231.5112846
Massachusetts,7,0.65,241.1837075
Massachusetts,7,0.7,272.3511946
Massachusetts,7,0.75,281.902084
Massachusetts,7,0.8,291.2427084
Massachusetts,7,0.85,292.9449305
Massachusetts,7,0.9,308.397275
Massachusetts,7,0.95,358.0091392
Massachusetts,7,0.975,358.6725299
Massachusetts,7,0.99,359.1561537
Wisconsin,1,point,81
Wisconsin,1,0.01,69.87949586
Wisconsin,1,0.025,70.19998463
Wisconsin,1,0.05,70.80327081
Wisconsin,1,0.1,72.01153565
Wisconsin,1,0.15,72.81809906
Wisconsin,1,0.2,73.25401749
Wisconsin,1,0.25,73.43630309
Wisconsin,1,0.3,73.56323414
Wisconsin,1,0.35,73.63566401
Wisconsin,1,0.4,74.4277362
Wisconsin,1,0.45,75.2335925
Wisconsin,1,0.5,81
Wisconsin,1,0.55,86.45464467
Wisconsin,1,0.6,86.94616628
Wisconsin,1,0.65,87.22690709
Wisconsin,1,0.7,87.50783874
Wisconsin,1,0.75,89.40511207
Wisconsin,1,0.8,90.93856714
Wisconsin,1,0.85,91.50178527
Wisconsin,1,0.9,93.09310495
Wisconsin,1,0.95,96.23412016
Wisconsin,1,0.975,97.82215772
